model,best_epoch,val_accuracy,val_loss,model_path,history_path
ResNet18,5,0.6753333333333333,0.9626299742062887,s:\Posolstvo\politex\now_sem\MO\models\ResNet18_best.pth,s:\Posolstvo\politex\now_sem\MO\models\ResNet18_epoch_history.csv
MobileNetV2,10,0.5023333333333333,1.5285839188893635,s:\Posolstvo\politex\now_sem\MO\models\MobileNetV2_best.pth,s:\Posolstvo\politex\now_sem\MO\models\MobileNetV2_epoch_history.csv
