epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.2530833333333333,0.33666666666666667,2.0135326166152954,1.8226283006668091
2,0.37775,0.3883333333333333,1.6723523988723754,1.7197560246785482
3,0.44925,0.4256666666666667,1.4879760653177898,1.6121780859629313
4,0.5075833333333334,0.428,1.3501903537114461,1.612879277865092
5,0.5455833333333333,0.486,1.2544564854303997,1.4636423638661702
6,0.5753333333333334,0.483,1.177905473391215,1.5185502424240112
7,0.6075833333333334,0.4836666666666667,1.096922667503357,1.5763956499099732
8,0.6445,0.48033333333333333,0.9985813665390014,1.5689837716420492
9,0.6705833333333333,0.4653333333333333,0.9123827486038208,1.7109052947362264
10,0.6980833333333333,0.5023333333333333,0.8570750281016032,1.5285839188893635
