epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.4255,0.4746666666666667,1.5787864096959432,1.4483284091949462
2,0.5678333333333333,0.5246666666666666,1.1861022415161133,1.3144997142155965
3,0.65825,0.5816666666666667,0.9398441775639852,1.2242556629180907
4,0.7295,0.5553333333333333,0.7615487265586853,1.3415804080963134
5,0.79775,0.6753333333333333,0.5818759054342906,0.9626299742062887
6,0.8585,0.657,0.39978927818934124,1.0994767939249674
7,0.9000833333333333,0.6223333333333333,0.2797903504371643,1.4084996881484986
8,0.9425833333333333,0.6663333333333333,0.1699352424542109,1.4617966656684875
9,0.9623333333333334,0.6516666666666666,0.11573055374622344,1.5011952335039775
10,0.97,0.5983333333333334,0.08965474418799083,2.0063249241511025
